location,year,sex,age,smoke,overweight
CHN,2000,female,20-24,0.009998582,0.077
CHN,2000,female,25-29,0.0155434,0.13
CHN,2000,female,30-34,0.017639458,0.169
CHN,2000,female,35-39,0.02718257,0.231
CHN,2000,female,40-44,0.028849687,0.267
CHN,2000,female,45-49,0.03964353,0.306
CHN,2000,female,50-54,0.045168079,0.335
CHN,2000,female,55-59,0.054023162,0.319
CHN,2000,female,60-64,0.097562164,0.315
CHN,2000,female,65-69,0.082902886,0.283
CHN,2000,male,20-24,0.430228591,0.105
CHN,2000,male,25-29,0.531815469,0.142
CHN,2000,male,30-34,0.55307132,0.187
CHN,2000,male,35-39,0.639058173,0.241
CHN,2000,male,40-44,0.618102551,0.255
CHN,2000,male,45-49,0.59585464,0.241
CHN,2000,male,50-54,0.598318517,0.244
CHN,2000,male,55-59,0.550681591,0.23
CHN,2000,male,60-64,0.536088049,0.23
CHN,2000,male,65-69,0.479233563,0.23
CHN,2001,female,20-24,0.009694261,0.079
CHN,2001,female,25-29,0.014111301,0.133
CHN,2001,female,30-34,0.015441339,0.17
CHN,2001,female,35-39,0.023833439,0.233
CHN,2001,female,40-44,0.025177412,0.271
CHN,2001,female,45-49,0.036882091,0.313
CHN,2001,female,50-54,0.041878961,0.338
CHN,2001,female,55-59,0.048857559,0.325
CHN,2001,female,60-64,0.087363243,0.315
CHN,2001,female,65-69,0.07618849,0.288
CHN,2001,male,20-24,0.410315961,0.112
CHN,2001,male,25-29,0.510457337,0.151
CHN,2001,male,30-34,0.534505486,0.194
CHN,2001,male,35-39,0.615578592,0.248
CHN,2001,male,40-44,0.606590092,0.264
CHN,2001,male,45-49,0.585462809,0.249
CHN,2001,male,50-54,0.585796237,0.251
CHN,2001,male,55-59,0.543515384,0.233
CHN,2001,male,60-64,0.517510295,0.232
CHN,2001,male,65-69,0.455331355,0.232
CHN,2002,female,20-24,0.009432049,0.081
CHN,2002,female,25-29,0.012711086,0.135
CHN,2002,female,30-34,0.013588487,0.17
CHN,2002,female,35-39,0.020782242,0.233
CHN,2002,female,40-44,0.02222435,0.274
CHN,2002,female,45-49,0.034244176,0.318
CHN,2002,female,50-54,0.03868166,0.337
CHN,2002,female,55-59,0.04433037,0.33
CHN,2002,female,60-64,0.077130072,0.316
CHN,2002,female,65-69,0.070891336,0.291
CHN,2002,male,20-24,0.394444019,0.119
