Snake,Age,Gender,Length,Lat Index
1,Adult,Female,1.2,0.582
2,Adult,Female,1.23,0.585
3,Adult,Female,1.04,0.55
4,Juvenile,Male,1.2,0.486
5,Juvenile,Male,1,0.492
6,Juvenile,Male,0.95,0.475
7,Adult,Male,1.8,0.563
8,Adult,Male,1.74,0.556
9,Adult,Male,1.6,0.522
10,Juvenile,Female,1.1,0.512
11,Juvenile,Female,0.85,0.556
12,Juvenile,Female,0.68,0.565
13,Adult,Female,1.1,0.554
14,Adult,Female,1.16,0.609
15,Adult,Female,1.04,0.545
16,Juvenile,Male,0.86,0.464
17,Juvenile,Male,0.98,0.493
18,Juvenile,Male,1.03,0.495
19,Adult,Male,1.54,0.541
20,Adult,Male,1.7,0.395
21,Adult,Male,1.68,0.564
22,Juvenile,Female,0.71,0.417
23,Juvenile,Female,1.02,0.429
24,Juvenile,Female,0.54,0.523
25,Adult,Female,1.13,0.544
26,Adult,Female,0.96,0.6
27,Adult,Female,1.2,0.638
28,Juvenile,Male,1.1,0.498
29,Juvenile,Male,1.12,0.51
30,Juvenile,Male,0.92,0.476
31,Adult,Male,1.83,0.545
32,Adult,Male,1.64,0.512
33,Adult,Male,1.74,0.421
34,Juvenile,Female,0.53,0.524
35,Juvenile,Female,0.77,0.438
36,Juvenile,Female,0.85,0.485
